Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
161,34.12236142158508,1988.0,1,1,1802,79,255,1600,small,False
162,30.429428815841675,2198.0,1,1,679,79,255,300,small,False
163,75.76933097839355,2227.0,1,1,722,79,0,800,small,False
164,52.34903573989868,2860.0,1,1,1129,253,255,1100,small,False
165,75.6553156375885,658.0,1,1,898,79,2,500,small,False
166,46.63982152938843,1453.0,1,1,1125,253,255,600,small,False
167,21.840596914291382,1517.0,1,1,303,79,255,300,small,False
168,30.13904309272766,1685.0,1,1,722,79,255,100,small,False
169,75.9043836593628,1297.0,1,1,898,89,1,300,small,False
170,24.92215895652771,2164.0,1,1,303,79,255,100,small,False
171,17.036734342575073,1470.0,1,1,687,79,255,100,small,False
172,29.96349048614502,2349.0,1,1,1523,79,255,400,small,False
173,16.38999915122986,1522.0,1,1,304,79,255,100,small,False
174,35.67365860939026,2130.0,1,1,287,85,255,400,small,False
175,24.984358310699463,1787.0,1,1,300,85,255,200,small,False
176,20.296048402786255,1279.0,1,1,310,79,255,100,small,False
177,41.64231896400452,2467.0,1,1,1410,252,255,800,small,False
178,23.878984689712524,1662.0,1,1,290,79,255,300,small,False
179,21.700534105300903,1639.0,1,1,679,79,255,400,small,False
180,23.64047598838806,2167.0,1,1,1402,255,255,300,small,False
181,21.68587899208069,1551.0,1,1,677,79,255,100,small,False
182,51.7165310382843,1985.0,1,1,306,79,255,500,small,False
183,32.29134821891785,2037.0,1,1,1953,79,255,1100,small,False
184,9.643800973892212,1094.0,1,1,304,79,255,100,small,False
185,15.462501525878906,1480.0,1,1,313,79,255,0,small,False
186,24.121955156326294,1703.0,1,1,898,79,255,500,small,False
187,75.58990097045898,1727.0,1,1,898,99,0,800,small,False
188,20.12977433204651,1490.0,1,1,1409,255,255,700,small,False
189,77.5223240852356,2139.0,1,1,2206,79,0,1200,small,False
190,63.02847099304199,2251.0,1,1,1434,253,255,800,small,False
191,28.63192057609558,1883.0,1,1,1124,252,255,500,small,False
192,77.30780625343323,1376.0,1,1,306,123,0,800,small,False
193,22.61451816558838,1859.0,1,1,686,91,255,300,small,False
194,26.046501398086548,1616.0,1,1,681,79,255,300,small,False
195,57.535449743270874,3635.0,1,1,1419,254,255,1000,small,False
196,77.67255806922913,1153.0,1,1,1131,82,1,1500,small,False
197,32.66446805000305,1956.0,1,1,722,79,255,400,small,False
198,54.51935291290283,2412.0,1,1,1123,253,255,600,small,False
199,47.7312912940979,1949.0,1,1,1402,253,255,500,small,False
200,37.60496139526367,2307.0,1,1,1131,252,255,400,small,False
201,62.326454401016235,2247.0,1,1,1128,252,255,500,small,False
202,78.45811820030212,851.0,1,1,1093,97,2,400,small,False
203,16.091827392578125,1484.0,1,1,1419,254,255,400,small,False
204,11.354955434799194,1079.0,1,1,301,91,255,0,small,False
