Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
112,0.8291375637054443,245.0,1,1,40,79,1,200,small,False
113,10.653501033782959,969.0,1,1,40,79,1,200,small,False
114,0.8039000034332275,236.0,1,1,40,79,1,200,small,False
115,30.330811023712158,558.0,1,1,898,79,2,300,small,False
116,20.332767248153687,895.0,1,1,40,79,1,300,small,False
117,3.0451555252075195,617.0,1,1,40,79,1,100,small,False
118,7.059434652328491,577.0,1,1,40,79,1,0,small,False
119,30.040305137634277,558.0,1,1,898,117,2,400,small,False
120,30.311465978622437,382.0,1,1,722,86,2,200,small,False
121,1.8298804759979248,625.0,1,1,40,79,1,0,small,False
122,15.099038124084473,694.0,1,1,40,79,1,200,small,False
123,0.7748203277587891,238.0,1,1,40,79,1,0,small,False
124,30.272754430770874,382.0,1,1,722,79,2,400,small,False
125,0.7131004333496094,250.0,1,1,40,79,1,0,small,False
126,30.06865692138672,558.0,1,1,898,106,2,300,small,False
127,30.386678218841553,382.0,1,1,722,105,2,200,small,False
128,30.37610650062561,381.0,1,1,722,109,2,200,small,False
129,1.683208703994751,651.0,1,1,40,79,1,0,small,False
130,0.839026689529419,230.0,1,1,40,79,1,0,small,False
131,30.277263879776,558.0,1,1,898,79,2,300,small,False
132,30.497267961502075,382.0,1,1,722,91,2,100,small,False
133,2.1917035579681396,615.0,1,1,40,79,1,200,small,False
134,0.7861819267272949,236.0,1,1,40,79,1,0,small,False
135,6.900416374206543,599.0,1,1,40,79,1,100,small,False
136,2.67407488822937,590.0,1,1,40,79,1,0,small,False
137,30.488121032714844,382.0,1,1,722,79,2,200,small,False
138,30.51291584968567,382.0,1,1,722,101,2,200,small,False
139,0.7939426898956299,238.0,1,1,40,79,1,0,small,False
140,30.423586130142212,528.0,1,1,870,97,2,300,small,False
141,1.3933050632476807,654.0,1,1,40,79,1,100,small,False
142,18.562592267990112,1194.0,1,1,1320,79,1,300,small,False
143,17.504345178604126,570.0,1,1,40,79,1,200,small,False
144,4.081334114074707,579.0,1,1,40,79,1,100,small,False
145,30.469735383987427,380.0,1,1,721,93,2,200,small,False
146,30.450597763061523,382.0,1,1,722,103,2,200,small,False
147,27.140349626541138,365.0,1,1,40,79,1,100,small,False
148,3.068974494934082,600.0,1,1,40,79,1,100,small,False
149,0.7251169681549072,233.0,1,1,40,79,1,0,small,False
150,30.467918634414673,557.0,1,1,897,96,2,600,small,False
151,0.6979978084564209,240.0,1,1,40,79,1,0,small,False
152,12.982142210006714,685.0,1,1,40,79,1,200,small,False
153,0.7190127372741699,250.0,1,1,40,79,1,0,small,False
154,18.26249122619629,1195.0,1,1,1320,79,1,500,small,False
155,0.794891357421875,250.0,1,1,40,79,1,0,small,False
156,19.140275716781616,1426.0,1,1,1320,79,1,500,small,False
157,30.5037043094635,382.0,1,1,722,103,2,200,small,False
158,30.584608793258667,382.0,1,1,722,79,2,200,small,False
159,30.669527292251587,382.0,1,1,722,96,2,100,small,False
160,2.8690688610076904,639.0,1,1,40,79,1,100,small,False
161,3.3599977493286133,578.0,1,1,40,79,1,0,small,False
162,19.610088109970093,651.0,1,1,40,79,1,300,small,False
163,0.7309360504150391,247.0,1,1,40,79,1,0,small,False
164,4.907670021057129,561.0,1,1,40,79,1,200,small,False
165,0.6880068778991699,251.0,1,1,40,79,1,0,small,False
166,0.7275066375732422,243.0,1,1,40,79,1,0,small,False
167,15.810816287994385,2261.0,1,1,1320,79,1,700,small,False
168,15.04084849357605,920.0,1,1,40,79,1,300,small,False
169,27.69948101043701,494.0,1,1,40,79,1,100,small,False
170,2.8169846534729004,640.0,1,1,40,79,1,0,small,False
171,4.293498277664185,580.0,1,1,40,79,1,200,small,False
172,30.478710174560547,382.0,1,1,722,79,2,300,small,False
173,1.9026334285736084,649.0,1,1,40,79,1,100,small,False
174,22.57994246482849,848.0,1,1,40,79,1,400,small,False
175,21.705788373947144,630.0,1,1,40,79,1,300,small,False
176,8.863014698028564,1297.0,1,1,1320,79,1,200,small,False
177,9.029767513275146,552.0,1,1,40,79,1,500,small,False
178,26.598873138427734,833.0,1,1,40,79,1,100,small,False
179,2.902249336242676,626.0,1,1,40,79,1,0,small,False
180,15.733588457107544,689.0,1,1,40,79,1,400,small,False
181,9.483953714370728,685.0,1,1,40,79,1,100,small,False
182,11.892815113067627,627.0,1,1,40,79,1,200,small,False
183,1.7499570846557617,630.0,1,1,40,79,1,100,small,False
184,0.6220107078552246,251.0,1,1,40,79,1,0,small,False
185,30.53727436065674,380.0,1,1,720,96,2,100,small,False
186,30.4629864692688,989.0,1,1,1332,106,2,500,small,False
187,3.424351692199707,810.0,1,1,40,79,1,400,small,False
188,0.7861919403076172,232.0,1,1,40,79,1,0,small,False
189,0.60495924949646,249.0,1,1,40,79,1,0,small,False
190,0.584465742111206,248.0,1,1,40,79,1,0,small,False
191,30.510567665100098,558.0,1,1,898,105,2,300,small,False
192,5.764079809188843,581.0,1,1,40,79,1,0,small,False
193,26.15032148361206,814.0,1,1,40,79,1,300,small,False
194,0.802800178527832,231.0,1,1,40,79,1,200,small,False
195,5.7178778648376465,611.0,1,1,40,79,1,100,small,False
196,15.54834532737732,690.0,1,1,40,79,1,300,small,False
197,0.7242758274078369,250.0,1,1,40,79,1,0,small,False
198,30.555153608322144,381.0,1,1,722,100,2,100,small,False
199,0.7315704822540283,245.0,1,1,40,79,1,0,small,False
200,23.721667766571045,863.0,1,1,40,79,1,200,small,False
201,23.934610605239868,521.0,1,1,40,79,1,200,small,False
202,9.329063892364502,521.0,1,1,40,79,1,100,small,False
203,0.900038480758667,228.0,1,1,40,79,1,0,small,False
204,2.9026713371276855,639.0,1,1,40,79,1,100,small,False
