Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
137,15.284056901931763,1047.0,1,1,40,79,1,400,small,False
138,3.901345729827881,229.0,1,1,40,79,1,0,small,False
139,10.716295003890991,633.0,1,1,40,79,1,100,small,False
140,14.98131799697876,727.0,1,1,40,79,1,200,small,False
141,14.059736728668213,564.0,1,1,40,79,1,0,small,False
142,2.6505746841430664,245.0,1,1,40,79,1,0,small,False
143,29.575905084609985,976.0,1,1,40,79,1,500,small,False
144,22.698913097381592,1022.0,1,1,40,79,1,400,small,False
145,29.151580572128296,977.0,1,1,40,79,1,600,small,False
146,22.700344800949097,717.0,1,1,40,79,1,300,small,False
147,8.622673511505127,600.0,1,1,40,79,1,0,small,False
148,7.554717779159546,635.0,1,1,40,79,1,0,small,False
149,6.719379663467407,622.0,1,1,40,79,1,100,small,False
150,2.756528854370117,247.0,1,1,40,79,1,0,small,False
151,11.282835483551025,638.0,1,1,40,79,1,0,small,False
152,24.238121032714844,753.0,1,1,40,79,1,200,small,False
153,15.402899026870728,763.0,1,1,40,79,1,200,small,False
154,6.080031871795654,652.0,1,1,40,79,1,100,small,False
155,6.623158931732178,617.0,1,1,40,79,1,100,small,False
156,2.3917288780212402,250.0,1,1,40,79,1,0,small,False
157,6.115926504135132,633.0,1,1,40,79,1,0,small,False
158,22.451372146606445,1015.0,1,1,40,79,1,200,small,False
159,25.06426501274109,1286.0,1,1,1320,79,1,400,small,False
160,2.929023265838623,242.0,1,1,40,79,1,0,small,False
161,77.04810667037964,669.0,1,1,911,143,2,700,small,False
162,58.29759979248047,1223.0,1,1,1320,79,1,500,small,False
163,6.994947910308838,622.0,1,1,40,79,1,0,small,False
164,8.293208360671997,613.0,1,1,40,79,1,100,small,False
165,2.2600271701812744,248.0,1,1,40,79,1,0,small,False
166,13.215368032455444,575.0,1,1,40,79,1,200,small,False
167,20.794253826141357,706.0,1,1,40,79,1,100,small,False
168,5.830054044723511,631.0,1,1,40,79,1,100,small,False
169,16.367790937423706,625.0,1,1,40,79,1,0,small,False
170,2.794616937637329,246.0,1,1,40,79,1,0,small,False
171,3.209350347518921,238.0,1,1,40,79,1,0,small,False
172,12.32257866859436,636.0,1,1,40,79,1,0,small,False
173,3.5394399166107178,212.0,1,1,40,79,1,0,small,False
174,55.788111209869385,1219.0,1,1,1320,79,1,300,small,False
175,2.804860830307007,230.0,1,1,40,79,1,0,small,False
176,22.704811573028564,1014.0,1,1,40,79,1,300,small,False
177,50.94134306907654,1234.0,1,1,1320,79,1,100,small,False
178,6.3404083251953125,636.0,1,1,40,79,1,100,small,False
179,17.856191396713257,1034.0,1,1,40,79,1,300,small,False
180,11.619762420654297,637.0,1,1,40,79,1,0,small,False
181,3.1002895832061768,225.0,1,1,40,79,1,0,small,False
182,15.058475971221924,752.0,1,1,40,79,1,400,small,False
183,24.78310751914978,779.0,1,1,40,79,1,300,small,False
184,44.748375415802,960.0,1,1,40,79,1,300,small,False
185,14.823537588119507,1041.0,1,1,40,79,1,400,small,False
186,76.99062514305115,720.0,1,1,955,168,2,1350,small,False
187,76.72919130325317,194.0,1,1,434,79,2,100,small,False
188,17.052631855010986,1032.0,1,1,40,79,1,100,small,False
189,5.940420866012573,628.0,1,1,40,79,1,300,small,False
190,6.36071252822876,651.0,1,1,40,79,1,100,small,False
191,77.15649724006653,482.0,1,1,722,79,2,200,small,False
192,77.1534640789032,482.0,1,1,722,79,2,200,small,False
193,77.21957850456238,482.0,1,1,722,93,2,300,small,False
194,77.13516664505005,608.0,1,1,850,105,2,100,small,False
195,77.5309579372406,482.0,1,1,722,84,2,100,small,False
196,11.649003267288208,638.0,1,1,40,79,1,200,small,False
197,38.844338178634644,743.0,1,1,40,79,1,300,small,False
198,6.114978790283203,624.0,1,1,40,79,1,200,small,False
199,19.5908362865448,1317.0,1,1,1320,79,1,200,small,False
200,2.7108078002929688,232.0,1,1,40,79,1,0,small,False
201,2.70926570892334,232.0,1,1,40,79,1,0,small,False
202,2.2012839317321777,251.0,1,1,40,79,1,0,small,False
203,11.819305896759033,637.0,1,1,40,79,1,300,small,False
204,19.644052267074585,1021.0,1,1,40,79,1,100,small,False
205,17.599876403808594,734.0,1,1,40,79,1,500,small,False
206,39.995349645614624,1243.0,1,1,1320,79,1,600,small,False
207,11.546626567840576,637.0,1,1,40,79,1,0,small,False
208,16.941631078720093,1035.0,1,1,40,79,1,300,small,False
209,19.34089946746826,1298.0,1,1,40,79,1,500,small,False
210,2.316230058670044,247.0,1,1,40,79,1,200,small,False
211,5.451625347137451,653.0,1,1,40,79,1,100,small,False
212,2.2709553241729736,247.0,1,1,40,79,1,0,small,False
211,15.915692329406738,791.0,1,1,40,79,1,200,small,False
212,43.13815093040466,1849.0,1,1,1320,79,1,900,small,False
213,7.392873048782349,600.0,1,1,40,79,1,0,small,False
214,42.986006021499634,987.0,1,1,40,79,1,200,small,False
215,25.466147422790527,602.0,1,1,40,79,1,0,small,False
216,8.682589292526245,623.0,1,1,40,79,1,0,small,False
217,14.046376466751099,727.0,1,1,40,79,1,200,small,False
