Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
54,5.307876825332642,490.4000000000095,1,1,40,93,1,200,small,False
55,0.41594433784484863,196.1999999999999,1,1,40,84,1,200,small,False
56,0.3730001449584961,174.7999999999999,1,1,40,79,1,0,small,False
57,0.549095869064331,175.19999999999985,1,1,40,79,1,0,small,False
58,1.2558870315551758,500.00000000000114,1,1,40,79,1,100,small,False
59,0.49202942848205566,152.39999999999986,1,1,40,79,1,0,small,False
60,4.942479133605957,787.2000000000089,1,1,40,79,1,600,small,False
61,3.8275508880615234,539.8000000000064,1,1,39,79,1,200,small,False
62,1.7045817375183105,515.8000000000025,1,1,40,79,1,200,small,False
63,0.4360225200653076,160.3999999999999,1,1,40,79,1,0,small,False
64,0.34143757820129395,205.99999999999991,1,1,40,84,1,0,small,False
65,0.5009491443634033,179.59999999999985,1,1,40,79,1,0,small,False
66,1.098095178604126,545.800000000001,1,1,40,93,1,200,small,False
67,1.033158302307129,517.2000000000007,1,1,40,93,1,0,small,False
68,1.551041603088379,484.6000000000023,1,1,39,79,1,200,small,False
69,7.873442888259888,284.8000000000152,1,1,40,93,1,100,small,False
70,4.265618801116943,492.8000000000062,1,1,40,79,1,200,small,False
71,0.6030116081237793,146.7999999999999,1,1,40,79,1,0,small,False
72,6.582362413406372,381.40000000001226,1,1,40,93,1,400,small,False
73,5.928642749786377,444.0000000000108,1,1,40,84,1,100,small,False
74,1.7532124519348145,510.40000000000236,1,1,39,79,1,300,small,False
75,0.47601866722106934,182.19999999999985,1,1,40,84,1,0,small,False
76,6.0900983810424805,454.40000000001146,1,1,40,79,1,500,small,False
77,4.863187074661255,517.2000000000088,1,1,39,79,1,200,small,False
78,0.4438021183013916,167.9999999999999,1,1,39,79,1,0,small,False
79,0.41698622703552246,157.79999999999987,1,1,40,79,1,0,small,False
80,1.0140135288238525,516.400000000001,1,1,40,79,1,200,small,False
81,0.509307861328125,150.19999999999987,1,1,40,79,1,200,small,False
82,3.039616823196411,1157.7999999999995,1,1,1320,79,1,500,small,False
83,5.234620571136475,535.0000000000095,1,1,40,84,1,200,small,False
84,0.8444526195526123,576.800000000001,1,1,40,79,1,300,small,False
85,0.48706912994384766,183.19999999999987,1,1,40,84,1,200,small,False
86,4.680437088012695,532.400000000006,1,1,40,79,1,500,small,False
87,0.4308764934539795,172.5999999999999,1,1,40,79,1,0,small,False
88,2.1700000762939453,617.8000000000035,1,1,40,79,1,200,small,False
89,3.254055976867676,1155.4000000000035,1,1,1320,79,1,300,small,False
90,2.8548688888549805,572.2000000000044,1,1,40,79,1,300,small,False
