Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
87,0,0.7111060619354248,223.48,1,1,40,79,1,0,small,False
88,0,0.7370522022247314,223.48,1,1,40,79,1,0,small,False
89,0,0.7310338020324707,223.48,1,1,40,79,1,0,small,False
90,0,0.6764204502105713,223.48,1,1,40,79,1,0,small,False
91,0,0.67356276512146,223.48,1,1,40,79,1,0,small,False
92,0,0.7005565166473389,223.48,1,1,40,79,1,0,small,False
93,0,0.7163636684417725,223.48,1,1,40,79,1,0,small,False
94,0,0.6858401298522949,223.48,1,1,40,79,1,0,small,False
95,0,0.676846981048584,223.48,1,1,40,79,1,0,small,False
96,0,0.6966254711151123,223.48,1,1,40,79,1,0,small,False
97,0,0.6916842460632324,223.48,1,1,40,79,1,0,small,False
98,0,0.6764638423919678,223.48,1,1,40,79,1,0,small,False
99,0,0.6632299423217773,223.48,1,1,40,79,1,0,small,False
100,0,0.6862156391143799,223.48,1,1,40,79,1,0,small,False
101,0,0.668701171875,223.48,1,1,40,79,1,0,small,False
102,0,0.6502325534820557,223.48,1,1,40,79,1,0,small,False
103,0,0.6898744106292725,223.48,1,1,40,79,1,0,small,False
104,0,0.7026183605194092,223.48,1,1,40,79,1,0,small,False
105,0,0.75211501121521,223.48,1,1,40,79,1,0,small,False
106,0,0.7569892406463623,223.48,1,1,40,79,1,0,small,False
107,0,0.6932580471038818,223.48,1,1,40,79,1,0,small,False
108,0,0.6982345581054688,223.48,1,1,40,79,1,0,small,False
109,0,0.6790018081665039,223.48,1,1,40,79,1,0,small,False
110,0,0.6898636817932129,223.48,1,1,40,79,1,0,small,False
111,0,0.6740210056304932,223.48,1,1,40,79,1,0,small,False
112,0,0.7020626068115234,223.48,1,1,40,79,1,0,small,False
113,0,0.6930351257324219,223.48,1,1,40,79,1,0,small,False
114,0,0.6796684265136719,223.48,1,1,40,79,1,0,small,False
115,0,0.6773228645324707,223.48,1,1,40,79,1,0,small,False
116,0,0.676891565322876,223.48,1,1,40,79,1,0,small,False
117,0,0.6671247482299805,223.48,1,1,40,79,1,0,small,False
118,0,0.6809964179992676,223.48,1,1,40,79,1,0,small,False
119,0,0.6624116897583008,223.48,1,1,40,79,1,0,small,False
120,0,0.6567013263702393,223.48,1,1,40,79,1,0,small,False
121,0,0.6667921543121338,223.48,1,1,40,79,1,0,small,False
122,0,0.6708173751831055,223.48,1,1,40,79,1,0,small,False
123,0,0.6629989147186279,223.48,1,1,40,79,1,0,small,False
124,0,0.6934652328491211,223.48,1,1,40,79,1,0,small,False
125,0,0.6689333915710449,223.48,1,1,40,79,1,0,small,False
126,0,0.6790213584899902,223.48,1,1,40,79,1,0,small,False
127,0,0.6699068546295166,223.48,1,1,40,79,1,0,small,False
128,0,0.6739153861999512,223.48,1,1,40,79,1,0,small,False
129,0,0.6833004951477051,223.48,1,1,40,79,1,0,small,False
130,0,0.6746149063110352,223.48,1,1,40,79,1,0,small,False
131,0,0.6741015911102295,223.48,1,1,40,79,1,0,small,False
132,0,0.6751494407653809,223.48,1,1,40,79,1,0,small,False
133,0,0.6908595561981201,223.48,1,1,40,79,1,0,small,False
134,0,0.6883559226989746,223.48,1,1,40,79,1,0,small,False
135,0,0.6814110279083252,223.48,1,1,40,79,1,0,small,False
136,0,0.6787147521972656,223.48,1,1,40,79,1,0,small,False
137,0,0.677046537399292,223.48,1,1,40,79,1,0,small,False
138,0,0.6946051120758057,223.48,1,1,40,79,1,0,small,False
139,0,0.6816270351409912,223.48,1,1,40,79,1,0,small,False
140,0,0.6720304489135742,223.48,1,1,40,79,1,0,small,False
141,0,0.6734225749969482,223.48,1,1,40,79,1,0,small,False
142,0,0.703864336013794,223.48,1,1,40,79,1,0,small,False
143,0,0.6996443271636963,223.48,1,1,40,79,1,0,small,False
144,0,0.7023928165435791,223.48,1,1,40,79,1,0,small,False
145,0,0.7080278396606445,223.48,1,1,40,79,1,0,small,False
146,0,0.699213981628418,223.48,1,1,40,79,1,0,small,False
147,0,0.6990625858306885,223.48,1,1,40,79,1,0,small,False
148,0,0.6813373565673828,223.48,1,1,40,79,1,0,small,False
149,0,0.690476655960083,223.48,1,1,40,79,1,0,small,False
150,0,0.6879932880401611,223.48,1,1,40,79,1,0,small,False
151,0,0.6858196258544922,223.48,1,1,40,79,1,0,small,False
152,0,0.6883735656738281,223.48,1,1,40,79,1,0,small,False
153,0,0.6824121475219727,223.48,1,1,40,79,1,0,small,False
154,0,0.6953637599945068,223.48,1,1,40,79,1,0,small,False
155,0,0.6936371326446533,223.48,1,1,40,79,1,0,small,False
156,0,0.6893303394317627,223.48,1,1,40,79,1,0,small,False
157,0,0.6923830509185791,223.48,1,1,40,79,1,0,small,False
158,0,0.695655107498169,223.48,1,1,40,79,1,0,small,False
159,0,0.6920709609985352,223.48,1,1,40,79,1,0,small,False
160,0,0.6927981376647949,223.48,1,1,40,79,1,0,small,False
161,0,0.7039146423339844,223.48,1,1,40,79,1,0,small,False
162,0,0.7364406585693359,223.48,1,1,40,79,1,0,small,False
163,0,0.6807765960693359,223.48,1,1,40,79,1,0,small,False
164,0,0.6887381076812744,223.48,1,1,40,79,1,0,small,False
165,0,0.6826984882354736,223.48,1,1,40,79,1,0,small,False
166,0,0.6793391704559326,223.48,1,1,40,79,1,0,small,False
167,0,0.6874494552612305,223.48,1,1,40,79,1,0,small,False
168,0,0.682506799697876,223.48,1,1,40,79,1,0,small,False
169,0,0.6832947731018066,223.48,1,1,40,79,1,0,small,False
170,0,0.7062160968780518,223.48,1,1,40,79,1,0,small,False
171,0,0.700873851776123,223.48,1,1,40,79,1,0,small,False
172,0,0.6927852630615234,223.48,1,1,40,79,1,0,small,False
173,0,0.6936635971069336,223.48,1,1,40,79,1,0,small,False
174,0,0.6904134750366211,223.48,1,1,40,79,1,0,small,False
175,0,0.7335619926452637,223.48,1,1,40,79,1,0,small,False
176,0,0.6903107166290283,223.48,1,1,40,79,1,0,small,False
177,0,0.6921284198760986,223.48,1,1,40,79,1,0,small,False
178,0,0.6999444961547852,223.48,1,1,40,79,1,0,small,False
179,0,0.6947643756866455,223.48,1,1,40,79,1,0,small,False
